"id","job_title","company_name","job_location","city","region","country","email_id","email_date","total_jobs"
68,"Machine Learning Manager (Viator)","Viator","Lisboa, Lisbon, Portugal","Lisboa"," Lisbon"," Portugal","18107e91ea812a81","2022-05-27",NULL
69,"Pricing Manager","Celonis","Madrid, Community of Madrid, Spain","Madrid"," Community of Madrid"," Spain","18107e91ea812a81","2022-05-27",NULL
70,"Product Analyst, Data Science, Google Meet and Duo","Google","Stockholm City, Stockholm County, Sweden","Stockholm City"," Stockholm County"," Sweden","18107e91ea812a81","2022-05-27",NULL
71,"Applied Scientist - AWS Causality Lab","Amazon Web Services (AWS)","Tübingen, Baden-Württemberg, Germany","Tübingen"," Baden-Württemberg"," Germany","1810c6f6fdd9b6a6","2022-05-28",NULL
72,"Data Scientist","Bolt","Tallinn, Harjumaa, Estonia","Tallinn"," Harjumaa"," Estonia","1810c6f6fdd9b6a6","2022-05-28",NULL
73,"Data Scientist","GfK","Nuremberg, Bavaria, Germany","Nuremberg"," Bavaria"," Germany","1810c6f6fdd9b6a6","2022-05-28",NULL
74,"Data Scientist, Intelligent Cloud Control, ML/DL/NLP","Amazon","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1810c6f6fdd9b6a6","2022-05-28",NULL
75,"Product Analyst - Growth (f/m/d)","Contentful","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1810c6f6fdd9b6a6","2022-05-28",NULL
76,"Senior Economist , AWS Central Economics, DSI Team","Amazon Web Services (AWS)","Cologne, North Rhine-Westphalia, Germany","Cologne"," North Rhine-Westphalia"," Germany","1810c6f6fdd9b6a6","2022-05-28",NULL
77,"2022 Applied Science Internship - Computer Vision, Machine Learning, Robotics, NLP Probabilistic and Causal Modeling, Information Retrieval","Amazon","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1811190f1579d973","2022-05-29",NULL
78,"2022 Applied Science Internship - Machine Learning, Deep Learning, Causality","Amazon","Tübingen, Baden-Württemberg, Germany","Tübingen"," Baden-Württemberg"," Germany","1811190f1579d973","2022-05-29",NULL
79,"Applied Scientist (m/f/d)","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1811190f1579d973","2022-05-29",NULL
80,"Machine Learning Scientist, Core AI","Amazon","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1811190f1579d973","2022-05-29",NULL
81,"Principal Product Manager - Measurement","Zalando","Berlin, Berlin, Germany","Berlin"," Berlin"," Germany","1811190f1579d973","2022-05-29",NULL
82,"Senior Data Scientist, Marketplace","Bolt","Tallinn, Harjumaa, Estonia","Tallinn"," Harjumaa"," Estonia","1811190f1579d973","2022-05-29",NULL
83,"Data Scientist - Lifetime Value","Spotify","Stockholm, Stockholm County, Sweden","Stockholm"," Stockholm County"," Sweden","1811843385127411","2022-05-30",NULL
84,"Pricing Strategy Analytics Manager","Celonis","Madrid, Community of Madrid, Spain","Madrid"," Community of Madrid"," Spain","1811843385127411","2022-05-30",NULL
85,"Senior Data Scientist","Bolt","Bucharest, Bucharest, Romania","Bucharest"," Bucharest"," Romania","1811843385127411","2022-05-30",NULL
